nic_code,nic_description
1284,"growing of perennial and non-perennial spices and aromatic crops (pepper,capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
1285,growing of drug and narcotic crops
1286,"growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
1287,growing of heena leaves (mehendi)
1291,growing of rubber trees
1292,growing of trees for extraction of sap
1293,growing of bamboo and cane
1299,"growing of other perennial crops, n.e.c."
1301,growing of plants for planting
1411,raising and breeding of cattle and buffaloes
1412,production of milk from cows or buffaloes
1413,production of bovine semen
1420,raising of horses and other equines
1430,raising and breeding of camels and camelids
1441,raising and breeding of sheep and goats
1442,production of milk from sheep or goat
1443,production of raw wool
1450,raising of swine/pigs (including breeding of swine/pigs)
1461,"raising and breeding of chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls"
1462,production of eggs
1463,operation of poultry hatcheries
1491,"raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
1492,bee-keeping and production of honey and beeswax
1493,"raising of silk worms, production of silk worm cocoons"
1499,"raising of other animals, n.e.c."
1500,mixed farming
1611,"agricultural activities on a fee or contract basis (preparation of fields, and vines, transplanting of rice, thinning of beets, harvesting, pest control in connection with agriculture etc.)"
1612,operation of agricultural irrigation equipment
1619,other supporting activities including agricultural gardening (excluding parks and gardening activities)
1620,support activities for animal production
1631,"preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting"
1632,"cotton ginning, cleaning and bailing"
1633,preparation of tobacco leaves
1639,"other post harvest crop activities, n.e.c."
1640,seed processing for propagation
1700,"hunting, trapping and related service activities"
2101,"growing of standing timber (planting, replanting, transplanting, thinning and conserving of forests and timber tracts)"
2102,operation of forest tree nurseries
2109,"other foresty activities including growing of pulpwood,firewood etc"
2201,gathering and preparation of fire wood
2202,"logging camps and loggers primarily engaged in felling timber and producing wood in the rough such as pitprops, split poles, pickets, hewn railway ties"
2203,production of charcoal in the forest (using traditional methods)
2209,"other logging activities, n.e.c."
2301,gathering of tendu leaves
2302,"gathering of lac, resins and rubber-like gums"
2303,"gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams, vegetable hair, eelgrass, mosses, lichens"
2309,"gathering of non-wood forest products, n.e.c."
2401,"forestry service activities (forest management consulting services, forestry inventories, timber evaluation, forest pest control)"
2402,logging service activities such as transport of logs within the forest
3111,fishing on a commercial basis including taking of marine crustaceans and molluscs in ocean and coastal waters
3112,"gathering of other marine organisms and materials such as natural pearls, sponges, coral and algae"
3113,activities of vessels engaged in fishing and in processing and preserving of fish
3121,fishing and taking of freshwater crustaceans and molluscs on a commercial basis in inland waters
3122,taking and gathering of freshwater aquatic animals
3211,fish farming in sea water including farming of marine ornamental fish
3212,"culture of crustaceans, bivalves, other mollusks and other aquatic animals in sea water"
3213,growing of edible seaweeds
3214,aquaculture activities in brackish waters and in salt water filled tanks or reservoirs
3215,operation of fish hatcheries (marine)
3219,"other marine aquaculture, n.e.c."
3221,fish farming in freshwater including farming of freshwater ornamental fish
3222,"culture of freshwater crustaceans, bivalves, other mollusks and other aquatic animals"
3223,operation of fish hatcheries (fresh-water)
3229,"other freshwater aquaculture ctivities, n.e.c."
5101,opencast mining of hard coal
5102,belowground mining of hard coal
5103,"cleaning, sizing, grading, pulverizing, compressing etc. of coal"
5109,other operations relating to mining and agglomeration of hard coal
5201,opencast mining of lignite (brown coal)
5202,belowground mining of lignite (brown coal)
5203,"washing, dehydrating, pulverizing, compressing of lignite"
5209,other operations relating to mining and agglomeration of lignite
6101,off shore extraction of crude petroleum
6102,on shore extraction of crude petroleum
6201,offshore extraction of natural gas
6202,on shore extraction of natural gas
7100,mining of iron ores
7210,mining of uranium and thorium ores
7291,mining of copper ore
7292,mining of aluminium ore (bauxite)
7293,mining of manganese ore
7294,mining of chromium ore
7295,"mining of precious metal ore (gold, silver)"
7296,mining of lead and znic ore
7299,"mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and rutile) ,niobium, tantalum, vanadium or zirconium ores; tin bearing ores; and, nickel, cobalt, tungsten, molybdenum, antimony and other non-ferrous metal ores]"
8101,quarrying of marble
8102,quarrying of granite
8103,quarrying of slate and building and monumental stone other than marble and granite
8104,mining of dolomite
8105,mining of gypsum including selenite
8106,"operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction"
8107,"mining/quarrying of limestone, limeshell, 'kankar' and other calcareous minerals including calcite, chalk and shale"
8108,"mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller's earth, fire, clay etc. )"
8109,"mining of refractory non-clay minerals (andalusite, kyanite, sillimanite, dunite, diaspore magnesite, diaspore, magnesite)"
8911,mining of native sulphur or pyrites and pyrrhotites valued chiefly for sulphur
8912,mining of natural phosphates including apatite minerals
8913,mining of earth colours (ochre including red oxide).
8914,mining of fluorspar
8915,mining of barytes
8919,mining of potash bearing salts/minerals; borate minerals and other fertiliser and chemical minerals
8920,extraction and agglomeration of peat
8931,"salt mining, quarrying, screening etc."
8932,salt production by evaporation of sea water or other saline waters
8991,"mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/saphire etc.)"
8992,"mining and quarrying of abrasive materials (pumice stone, emery, corundum, garnet and other natural abrasives)"
8993,mining of mica
8994,mining of natural graphite
8995,mining of asbestos
8996,"mining of vermiculite, perlite and chlorites"
8997,"mining of felspar and silica minerals including quartz, quartzite and fuch."
8998,mining of talc/ steatite
8999,"mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and other natural fluxes; natural asphalt or bitumen and other mining"
9101,services incidental to off shore oil extraction
9102,services incidental to on shore oil extraction
9103,services incidental to off shore gas extraction
9104,services incidental to on shore gas extraction
9900,support activities for other mining and quarrying
10101,"mutton-slaughtering, preparation"
10102,"beef-slaughtering, preparation"
10103,"pork-slaughtering, preparation"
10104,"poultry and other slaughtering, preparation"
10105,"preservation, processing and canning of meat"
10106,production of hides and skins originating from slaughterhouses
10107,rendering of lard and other edible fats of animal origin
10108,production and processing of animal offal
10109,"production, processing and preserving of other meat and meat products"
10201,sun-drying of fish
10202,artificial dehydration of fish and sea food
10203,radiation preservation of fish and similar food
10204,processing and preserving of fish crustacean and similar foods
10205,processing and canning of fish
10206,processing and canning of frog legs
10207,production of fishmeal for human consumption or animal feed
10209,"production, processing and preservation of other fish products n.e.c."
10301,sun-drying of fruit and vegetables
10302,artificial dehydration of fruit and vegetables
10303,radiation preservation of fruit and vegetables
10304,"manufacture of fruit or vegetable juices and their concentrates, squashes and powder"
10305,"manufacture of sauces, jams, jellies and marmalades"
10306,"manufacture of pickles, chutney etc."
10307,canning of fruits and vegetables
10308,manufacture of potato flour & meals and prepared meals of vegetables
10309,preservation of fruit and vegetables n.e.c.
10401,manufacture of hydrogenated oil and vanaspati ghee
10402,manufacture of vegetable oils and fats excluding corn oil
10403,manufacture of edible animal oils and fats
10404,manufacture of fish oil
10405,manufacture of non-edible animal oil and fats
10406,"manufacture of oil cakes & meals incl. residual products, e.g. oleostearin,palmstearin"
10407,"manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels"
10409,"manufacture of other vegetable oil, animal oil and fats n.e.c"
10501,manufacture of pasteurised milk whether or not in bottles/ polythene packs
10502,"manufacture of milk-powder, ice-cream powder and condensed milk"
10503,manufacture of baby milk foods
10504,"manufacture of cream, butter, cheese, curd, ghee, khoya etc."
10505,"manufacture of ice-cream, kulfi etc."
10509,manufacture of other dairy products n.e.c.
10611,flour milling
10612,rice milling
10613,dal (pulses) milling
10614,"grain milling other than wheat, rice and dal"
10615,"vegetable milling (production of flour or meal of dried leguminous vegetables(except dal), of roots or tubers, or of edible nuts)"
10616,manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains
10617,"manufacture of flour mixes and prepared blended flour and dough for bread, cake, biscuits"
10618,"manufacture of other readymade mixed powders like idli, gulabjamun etc."
10619,other grain milling and processing n.e.c.
10621,"manufacture of starches from rice, potatoes, maize etc."
10622,manufacture of sago and sago products
10623,"manufacture of glucose, glucose syrup, maltose etc."
10624,manufacture of gluten
10625,manufacture of tapioca and tapioca substitutes prepared from starch
10626,manufacture of corn oil
10629,manufacture of other starch products n.e.c.
10711,manufacture of bread
10712,"manufacture of biscuits, cakes, pastries, rusks etc."
10719,manufacture of other bakery products n.e.c.
10721,manufacture or refining of sugar (sucrose) from sugercane
10722,manufacture of `gur' from sugarcane
10723,manufacture of `gur' from other than sugarcane
10724,manufacture of `khandsari' sugar from sugarcane
10725,manufacture of `khandsari' suger from other than sugarcane
10726,manufacture of `boora' and candy from sugarcane
10727,manufacture of `boora' and candy from other than sugarcane
10728,manufacture of molasses
10729,"manufacture of sugar from other sources (juice of palm, suger beet etc.)"
10731,manufacture of cocoa products
10732,manufacture of chocolate and chocolate confectionery
10733,manufacture of sugar confectionery (except sweetmeats)
10734,manufacture sweetmeats includind dairy based sweetmeats
10735,manufacture of chewing gum
10736,"preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
10739,"manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
10740,"manufacture of macaroni, noodles, couscous and similar farinaceous products"
10750,manufacture of prepared meals and dishes
10791,processing and blending of tea including manufacture of instant tea
10792,"coffee curing, roasting, grinding blending etc. and manufacturing of coffee products"
10793,processing of edible nuts
10794,manufacture of malted foods including foods for infants and handicapped
10795,grinding and processing of spices
10796,"manufacture of papads, appalam and similar food products"
10797,"manufacture of vitaminised high protein flour, frying of dal and other cereals"
10798,"processing of salt into food-grade salt, e.g. iodized salt"
10799,"other semi-processed, processed or instant foods n.e.c."
10801,manufacture of cattle feed
10802,manufacture of poultry feed
10803,"manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
10809,manufacture of other animal feeds n.e.c.
11011,"manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, mixed drinks etc."
11012,manufacture of country liquor
11019,"distilling, rectifying and blending of spirits"
11020,manufacture of wines
11031,manufacture of beer
11032,manufacture of malt liquors other than beer
11033,manufacture of malt
11039,manufacture of malt liquors and malt n.e.c.
11041,manufacture of aerated drinks
11042,manufacture of synthetic flavoured concentrates and syrups
11043,manufacture of mineral water
11044,manufacture of ice
11045,manufacture of soft drinks
11049,manufacture of other non-alcoholic beverages n.e.c.
12001,stemming and redrying of tobacco
12002,manufacture of bidi
12003,"manufacture of cigarettes, cigarette tobacco"
12004,manufacture of cigars and cheroots
12005,manufacture of snuff
12006,manufacture of zarda
12007,manufacture of catechu(katha) and chewing lime
12008,manufacture of pan masala and related products.
12009,manufacture of other tobacco products including chewing tobacco n.e.c.
13111,preparation and spinning of cotton fiber including blended* cotton
13112,preparation and spinning of silk fiber including blended* silk
13113,"preparation and spinning of wool, including other animal hair and blended* wool including other animal hair"
13114,preparation and spinning of man-made fiber including blended* man-made fiber
13119,"preparation and spinning of jute, mesta and other natural fibers including blended natural fibers"
13121,"weaving, manufacture of cotton and cotton mixture fabrics."
13122,"weaving, manufacture of silk and silk mixture fabrics."
13123,"weaving, manufacture of wool and wool mixture fabrics."
13124,"weaving, manufacturing of man-made fiber and man-made mixture fabrics."
13129,"weaving of jute, mesta and other natural fibers including blended natural fibers"
13131,finishing of cotton and blended cotton textiles.
13132,finishing of silk and blended silk textiles.
13133,finishing of wool and blended wool textiles.
13134,finishing of man-made and blended man-made textiles.
13135,"finishing of jute, mesta and other vegetable textiles fabrics"
13136,activity related to screen printing
13139,other activities relating to finishing of textile n.e.c.
13911,manufacture of knitted and crocheted cotton fabrics
13912,manufacture of knitted and crocheted woolen fabrics
13913,manufacture of knitted and crocheted synthetic fabrics
13919,manufacture of other knitted and crocheted fabrics
13921,"manufacture of curtains, bed covers and furnishings"
13922,manufacture of crocheted made up textile goods except apparel
13923,manufacture of mosquito nets
13924,"manufacture of bedding, quilts pillows, sleeping bags etc."
13925,manufacture of tarpaulin
13926,manufacture of blankets
13929,"manufacture of other made-up textile articles, except apparel n.e.c."
13931,manufacture of carpets and other floor coverings made of cotton
13932,manufacture of carpets and other floor coverings made of wool
13933,manufacture of carpets and other floor coverings made of silk
13934,manufacture of carpets made of synthetic materials
13935,"manufacture of carpets, and other floor coverings made of jute, mesta and coir"
13939,manufacture of other floor coverings n.e.c.
13941,"manufacture of thread, including thread ball making"
13942,manufacture of cordage or rope made of jute
13943,manufacture of cordage or rope made of coir
13944,manufacture of rope and cordage made of synthetic material
13945,"manufacture of knotted netting of twine, cordage or rope"
13946,"manufacture of tapes, newar and wicks"
13949,manufacture of other cordage or rope n.e.c.
13991,embroidery work and making of laces and fringes
13992,zari work and other ornamental trimmings
13993,manufacture of linolium and similar products
13994,manufacture of gas mantles
13995,"manufacture of made-up canvas goods such tents, sails etc."
13996,manufacture of wadding of textile materials and articles of wadding such as
13997,"manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic"
13998,manufacture of waterproof textile excluding tarpulin
13999,manufacture of other textiles/textile products n.e.c.
14101,manufacture of all types of textile garments and clothing accessories
14102,manufacture of rain coats of waterproof textile fabrics or plastic sheetings
14103,"manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc."
14104,manufacture of wearing apparel made of leather and substitutes of leather
14105,custom tailoring
14109,manufacture of wearing apparel n.e.c.
14201,manufacture of wearing apparel and clothing accessories made of fur
14202,manufacture of fur and skin rugs and other similar articles
14209,manufacture of other fur products n.e.c.
14301,"manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)"
14309,manufacture of other knitted and crocheted apparel including hosiery
15111,flaying and curing of raw hides and skins
15112,tanning and finishing of sole leather
15113,tanning and finishing of industrial leather
15114,"scraping, currying, tanning, bleaching, shearing and plucking and dyeing of fur skins and hides with the hair on"
15115,"finishing of upper leather, lining leather and garment leather etc."
15116,embroidering and embossing of leather articles
15119,"other tanning, curing, finishing, embossing etc. of leather"
15121,"manufacture of travel goods like suitcase, bags, holdalls etc."
15122,"manufacture of purse, ladies' handbags, artistic leather presented articles and novelties"
15123,manufacture of saddlery and harness
15129,manufacture of other consumer goods of leather and substitutes of leather
15201,"manufacture of leather footwear such as shoes, sandals, chappals, leathercum- rubber/plastic cloth sandles and chappals"
15202,manufacture of footwear made primarily of vulcalized or moulded rubber and plastic.
15209,manufacture of other footwear n.e.c.
16101,sawing and planing of wood
16102,manufacture of unassembled wooden flooring including parquet flooring
16103,manufacture of wooden railway sleepers
16109,activities related to saw milling and planing of wood n.e.c.
16211,manufacture of ply wood and veneer sheets
16212,manufacture of particle board and fibreboard including densified wood
16213,manufacture of flush doors and other boards or panels
16219,manufacture of other plywood products n.e.c.
16221,"manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]"
16222,"manufacture of prefabricated buildings, or elements thereof, predominantly of wood"
16229,manufacture of builders' carpentry and joinery n.e.c.
16231,"manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
16232,manufacture of plywood chests
16233,"manufacture of market basketry, grain storage bins and similar products made of bamboo or reed"
16239,"manufacture of other wooden containers and products entirely or mainly of cane, rattan, bamboo, willow, fibre, leaves and grass"
16291,manufacture of wooden industrial goods
16292,manufacture of cork and cork products
16293,manufacture of wooden agricultural implements
16294,"manufacture of various articles made of bamboo, cane and grass"
16295,manufacture of broomsticks
16296,"manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc"
16297,manufacture of products of pith and shalapith
16299,manufacture of other wood products n.e.c.
17011,manufacture of pulp
17012,manufacture of news print
17013,manufacture of paper and paper rolls not further processed
17014,manufacture of packing paper
17015,manufacture of other special purpose paper (excluding computer stationary)
17016,"manufacture of paper board, straw board"
17017,manufacture of hard board including false board and chip board
17019,manufacture of other primary paper materials including composite paper and paper board
17021,manufacture of corrugated paper and paperboard
17022,manufacture of corrugated paper board containers
17023,manufacture of card board boxes
17024,manufacture of sacks and bags of paper
17029,manufacture of other containers of paper and paperboard n.e.c.
17091,manufacture of computer paper
17092,"manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
17093,"manufacture of printing, writing and photocopying paper ready for use"
17094,manufacture of paper pulp articles other than containers (such as egg trays)
17095,"manufacture of file cover/file boards, and similar articles."
17096,manufacture of wall paper
17097,manufacture of carbon paper & stationary items
17099,manufacture of other paper products n.e.c.
18111,printing of newspapers
18112,"printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
18113,"printing of postage stams, taxation stamps, cheques and other security papers"
18114,"printing of bank notes, currency notes"
18115,"printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
18119,other printing activities like screen printing other than textile n.e.c.
18121,book and other similar sheet binding on account of others
18122,"engraving, etching and block making etc."
18129,other service activities related to printing n.e.c.
18200,reproduction of recorded media
19101,production of coke and semi-coke products
19109,"manufacture of other coke oven products such as gas, crude coal and lignite tars etc."
19201,"production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals"
19202,manufacture of paraffin wax
19203,bottling of lpg/cng
19204,manufacture of hard-coal and lignite fuel briquettes
19209,"manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
20111,"manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases etc.)"
20112,manufacture of inorganic acids except nitric acid
20113,manufacture of tanning or dying extracts; tannings and their derivatives and colouring matter (including manufacture of indigo)
20114,manufacture of dyes and pigments from any source in basic form or as concentrate
20115,manufacture of turpentine and resins of vegetable origin
20116,manufacture of basic chemical elements
20117,manufacture of distilled water
20118,manufacture of synthetic aromatic products
20119,manufacture of organic and inorganic chemical compounds n.e.c.
20121,manufacture of urea and other organic fertilizers
20122,"manufacture of straight mixed, compound or complex inorganic fertilizers"
20123,"manufacture of associated nitrogen products (nitric and sulphonitric acids, ammonia, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium)"
20129,manufacture of other fertilizers n.e.c.
20131,"manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)"
20132,manufacture of synthetic rubber in primary forms
20133,manufacture of mixture of synthetic and natural or rubber like gums
20211,"manufacture of insecticides, rodenticides, fungicides, herbicides"
20212,manufacture of disinfectants (for agricultural and other use)
20213,"manufacture of anti-sprouting products, plant growth regulators"
20219,manufacture of other agrochemical products n.e.c.
20221,"manufacture of paints and varnishes, enamels or lacquers"
20222,"manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes engobes and similar preparations of a kind used in the ceramic, enamelling or glass industry"
20223,manufacture of printing ink
20224,manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters
20229,"manufacture of caulking compounds and similar non-refractory filling or surfacing preparations, mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related products"
20231,manufacture of soap all forms
20232,"manufacture of cleaning and polishing products (preparations for perfuming or deodorizing rooms; artificial waxes and prepared waxes; polishes and creams for leather, wood, glass, metal etc.; scouring pastes and powders, including paper, wadding etc. coated or covered with these)"
20233,manufacture of detergent and similar washing agents excluding soap
20234,manufacture of perfumes and cologne de-eau
20235,"manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.)"
20236,"manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)"
20237,"manufacture of cosmetics and toileteries (includes manufacture of pre-shave, shaving or after shave preparations; personal deodorants and antirespirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations for the care of the skin, other than medicaments; manicure and pedicure preparations etc.)"
20238,"manufacture of ""agarbatti"" and other preparations which operate by burning"
20239,manufacture of other perfumes and toilet preparations n.e.c.
20291,manufacture of matches
20292,"manufacture of explosives, ammunition and fire works"
20293,manufacture of essential oils; modification by chemical processes of oils and fats
20294,"manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials,chemical preparations for photographic uses"
20295,"manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives"
20296,manufacture of chemical elements and compounds doped for use in electronics
20297,"manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries"
20299,"manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)"
20301,manufacture of synthetic or artificial filament tow
20302,manufacture of synthetic or artificial filament staple fibre not textured
20203,"manufacture of synthetic or artificial filament yarn, tenacity yarn whether or not textured including high tenacity ya"
20304,manufacture of synthetic or artificial mono-filament or strip
21001,"manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc."
21002,manufacture of allopathic pharmaceutical preparations
21003,manufacture of `ayurvedic' or `unani' pharmaceutical preparation
21004,manufacture of homoeopathic or biochemic pharmaceutical preparations
21005,manufacture of veterinary preparations
21006,"manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc."
21009,manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.
22111,"manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three-wheelers, tractors and aircraft"
22112,manufacture of rubber tyres and tubes for cycles and cycle-rickshaws
22113,retreading of tyres; replacing or rebuilding of tread on used pneumatic tyres
22119,manufacture of rubber tyres and tubes n.e.c.
22191,"manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc."
22192,manufacture of rubber conveyor or transmission belts or belting
22193,manufacture of rubber contraceptives
22194,manufacture of rubber balloons
22199,manufacture of other rubber products n.e.c.
22201,"manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)"
22202,"manufacture of tableware, kitchenware and other household articles and toilet articles of plastic, including manufacture of vacuum flasks and other vacuum vessels"
22203,"manufacture of plastic articles for the packing of goods (plastic bags, sacks, ontainers, boxes, cases, carboys, bottles etc.)"
22204,"manufacture of bathing tubs, wash-basins, lavatory pans and covers, flushing cisterns and similar sanitary-ware of plastics"
22205,"manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and similar articles)"
22206,manufacture of spectacle frames of plastic
22207,manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of plastics]
22208,manufacture of polymer/ synthetic / pvc water storage tanks
22209,manufacture of other plastics products n.e.c.
23101,"manufacture of glass in primary or semi-manufactured forms (such as sheets & plate glass) including mirror sheets and wired, coloured, tinted, toughened or laminated glass"
23102,"manufacture of glass fibre (including glass-wool) and yarn of glass fibre; nonwoven glass fabrics, mats, boards and similar non-woven products"
23103,"manufacture of hollow glassware (bottles, jars etc.) for the conveyance or packing of goods"
23104,manufacture of laboratory or pharmaceutical glassware
23105,manufacture of table or kitchen glassware
23106,manufacture of glass bangles
23107,manufacture of glass decoration pieces and glassware used in imitation
23109,"manufacture of other glassware/glass products: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c."
23911,"manufacture of refractory mortars, concretes etc."
23912,"manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods"
23913,manufacture of refractory ceramic products
23919,manufacture of other refractory articles n.e.c.
23921,manufacture of bricks
23922,"manufacture of non-refractory ceramic sanitary wares: sinks, baths, water-closet pans, flushing cistern etc."
23923,"manufacture of non-refractory ceramic pipes, conduits, guttering and pipe fittings"
23929,manufacture of other clay building materials
23931,"manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues"
23932,manufacture of ceramic tableware and other domestic or toilet articles
23933,manufacture of statuettes and other ornamental ceramic articles
23934,manufacture of electrical insulators and insulating fittings of ceramics
23935,"manufacture of ceramic laboratory, chemical and industrial products"
23939,manufacture of ceramic products n.e.c.
23941,manufacture of clinkers and cement
23942,"manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement"
23943,manufacture of asbestos cement
23944,"manufacture of quicklime, slaked lime and hydraulic lime"
23945,manufacture of plasters of calcined gypsum or calcined sulphate
23949,manufacture of other cement and plaster n.e.c.
23951,manufacture of plaster statues and other plaster products
23952,"manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)"
23953,manufacture of asbestos sheets
23954,manufacture of r.c.c. bricks and blocks
23955,manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering
23956,"manufacture of insulation boards of vegetable fibre, straw or wood waste, agglomerated with cement & other mineral binders."
23959,manufacture of other cement and asbestos cement products n.e.c.
23960,"cutting, shaping and finishing of stone"
23991,manufacture of worked mica and mica products
23992,manufacture of gypsum boards
23993,"manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material"
23994,manufacture of graphite products other than electrical articles
