nic_code,nic_description
01420,Raising of horses and other equines
01430,Raising and breeding of camels and camelids
01441,Raising and breeding of sheep and goats
01442,Production of milk from sheep or goat
01443,Production of raw wool
01450,Raising of swine/pigs (including breeding of swine/pigs)
01461,"Raising and breeding of chickens and capons, ducks, geese, turkeys and"
01462,Production of eggs
01463,Operation of poultry hatcheries
01491,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
01492,Bee-keeping and production of honey and beeswax
01493,"Raising of silk worms, production of silk worm cocoons"
01499,"Raising of other animals, n.e.c."
01500,Mixed farming
01611,"Agricultural activities on a fee or contract basis (preparation of fields,"
01612,Operation of agricultural irrigation equipment
01619,Other supporting activities including agricultural gardening (excluding
01620,Support activities for animal production
01631,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading,"
01632,"Cotton ginning, cleaning and bailing"
01633,Preparation of tobacco leaves
01639,"Other post harvest crop activities, n.e.c."
01640,Seed processing for propagation
01700,"Hunting, trapping and related service activities"
02101,"Growing of standing timber (planting, replanting, transplanting, thinning"
02102,Operation of forest tree nurseries
02109,"Other foresty activities including growing of pulpwood,firewood etc"
02201,Gathering and preparation of fire wood
02202,Logging camps and loggers primarily engaged in felling timber and
02203,Production of charcoal in the forest (using traditional methods)
02209,"Other logging activities, n.e.c."
02301,Gathering of tendu leaves
02302,"Gathering of lac, resins and rubber-like gums"
02303,"Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams,"
02309,"Gathering of non-wood forest products, n.e.c."
02401,"Forestry service activities (forest management consulting services, forestry"
02402,Logging service activities such as transport of logs within the forest
03111,Fishing on a commercial basis including taking of marine crustaceans and
03112,"Gathering of other marine organisms and materials such as natural pearls,"
03113,Activities of vessels engaged in fishing and in processing and preserving of
03121,Fishing and taking of freshwater crustaceans and molluscs on a commercial
03122,Taking and gathering of freshwater aquatic animals
03211,Fish farming in sea water including farming of marine ornamental fish
03212,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals"
03213,Growing of edible seaweeds
03214,Aquaculture activities in brackish waters and in salt water filled tanks or
03215,Operation of fish hatcheries (marine)
03219,"Other marine aquaculture, n.e.c."
03221,Fish farming in freshwater including farming of freshwater ornamental fish
03222,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic"
03223,Operation of fish hatcheries (fresh-water)
03229,"Other freshwater aquaculture ctivities, n.e.c."
05101,Opencast mining of hard coal
05102,Belowground mining of hard coal
05103,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal"
05109,Other operations relating to mining and agglomeration of hard coal
05201,Opencast mining of lignite (brown coal)
05202,Belowground mining of lignite (brown coal)
05203,"Washing, dehydrating, pulverizing, compressing of lignite"
05209,Other operations relating to mining and agglomeration of lignite
06101,Off shore extraction of crude petroleum
06102,On shore extraction of crude petroleum
06201,Offshore Extraction of natural gas
06202,On shore Extraction of natural gas
07100,Mining of iron ores
07210,Mining of uranium and thorium ores
07291,Mining of copper ore
07292,Mining of aluminium ore (bauxite)
07293,Mining of manganese ore
07294,Mining of chromium ore
07295,"Mining of precious metal ore (gold, silver)"
07296,Mining of lead and znic ore
07299,"Mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and"
08101,Quarrying of marble
08102,Quarrying of granite
08103,Quarrying of slate and building and monumental stone other than marble
08104,Mining of dolomite
08105,Mining of gypsum including selenite
08106,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing"
08107,"Mining/quarrying of limestone, limeshell, ‘kankar’ and other calcareous"
08108,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller’s earth, fire"
08109,"Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite,"
08911,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for
08912,Mining of natural phosphates including apatite minerals
08913,Mining of earth colours (ochre including red oxide).
08914,Mining of fluorspar
08915,Mining of barytes
08919,Mining of potash bearing salts/minerals; borate minerals and other fertiliser
08920,Extraction and agglomeration of peat
08931,"Salt mining, quarrying, screening etc."
08932,Salt production by evaporation of sea water or other saline waters
08991,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/"
08992,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum,"
08993,Mining of mica
08994,Mining of natural graphite
08995,Mining of asbestos
08996,"Mining of vermiculite, perlite and chlorites"
08997,"Mining of felspar and silica minerals including quartz, quartzite and fuch."
08998,Mining of talc/ steatite
08999,"Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and"
09101,Services incidental to off shore oil extraction
09102,Services incidental to on shore oil extraction
09103,Services incidental to off shore gas extraction
09104,Services incidental to on shore gas extraction
09900,Support activities for other mining and quarrying
10101,"Mutton-slaughtering, preparation"
10102,"Beef-slaughtering, preparation"
10103,"Pork-slaughtering, preparation"
10104,"Poultry and other slaughtering, preparation"
10105,"Preservation, Processing and canning of meat"
10106,Production of hides and skins originating from slaughterhouses
10107,Rendering of lard and other edible fats of animal origin
10108,Production and processing of animal offal
10109,"Production, processing and preserving of other meat and meat products"
10201,Sun-drying of fish
10202,Artificial dehydration of fish and sea food
10203,Radiation preservation of fish and similar food
10204,Processing and preserving of fish crustacean and similar foods
10205,Processing and canning of fish
10206,Processing and canning of frog legs
10207,Production of fishmeal for human consumption or animal feed
10209,"Production, processing and preservation of other fish products n.e.c."
10301,Sun-drying of fruit and vegetables
10302,Artificial dehydration of fruit and vegetables
10303,Radiation preservation of fruit and vegetables
10304,"Manufacture of fruit or vegetable juices and their concentrates, squashes"
10305,"Manufacture of sauces, jams, jellies and marmalades"
10306,"Manufacture of pickles, chutney etc."
10307,Canning of fruits and vegetables
10308,Manufacture of potato flour & meals and prepared meals of vegetables
10309,Preservation of fruit and vegetables n.e.c.
10401,Manufacture of hydrogenated oil and vanaspati ghee
10402,Manufacture of vegetable oils and fats excluding corn oil
10403,Manufacture of edible animal oils and fats
10404,Manufacture of fish oil
10405,Manufacture of non-edible animal oil and fats
10406,"Manufacture of oil cakes & meals incl. residual products, e.g."
10407,"Manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels"
10409,"Manufacture of other vegetable oil, animal oil and fats n.e.c"
10501,Manufacture of pasteurised milk whether or not in bottles/ polythene packs
10502,"Manufacture of milk-powder, ice-cream powder and condensed milk except"
10503,Manufacture of baby milk foods
10504,"Manufacture of cream, butter, cheese, curd, ghee, khoya etc."
10505,"Manufacture of ice-cream, kulfi etc."
10509,Manufacture of other dairy products n.e.c.
10611,Flour milling
10612,Rice milling
10613,Dal (pulses) milling
10614,"Grain milling other than wheat, rice and dal"
10615,Vegetable milling (production of flour or meal of dried leguminous
10616,Manufacture of cereal breakfast foods obtained by roasting or swelling
10617,"Manufacture of flour mixes and prepared blended flour and dough for bread,"
10618,"Manufacture of other readymade mixed powders like idli, gulabjamun etc."
10619,Other grain milling and processing n.e.c.
10621,"Manufacture of starches from rice, potatoes, maize etc."
10622,Manufacture of sago and sago products
10623,"Manufacture of glucose, glucose syrup, maltose etc."
10624,Manufacture of gluten
10625,Manufacture of tapioca and tapioca substitutes prepared from starch
10626,Manufacture of corn oil
10629,Manufacture of other starch products n.e.c.
10711,Manufacture of bread
10712,"Manufacture of biscuits, cakes, pastries, rusks etc."
10719,Manufacture of other bakery products n.e.c.
10721,Manufacture or refining of sugar (sucrose) from sugercane
10722,Manufacture of `gur’ from sugarcane
10723,Manufacture of `gur’ from other than sugarcane
10724,Manufacture of `khandsari’ sugar from sugarcane
10725,Manufacture of `khandsari’ suger from other than sugarcane
10726,Manufacture of `boora’ and candy from sugarcane
10727,Manufacture of `boora’ and candy from other than sugarcane
10728,Manufacture of molasses
10729,"Manufacture of sugar from other sources (juice of palm, suger beet etc.)"
10731,Manufacture of cocoa products
10732,Manufacture of chocolate and chocolate confectionery
10733,Manufacture of sugar confectionery (except sweetmeats)
10734,Manufacture sweetmeats includind dairy based sweetmeats
10735,Manufacture of chewing gum
10736,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
10739,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
10740,"Manufacture of macaroni, noodles, couscous and similar farinaceous"
10750,Manufacture of prepared meals and dishes
10791,Processing and blending of tea including manufacture of instant tea
10792,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee"
10793,Processing of edible nuts
10794,Manufacture of malted foods including foods for infants and handicapped
10795,Grinding and processing of spices
10796,"Manufacture of papads, appalam and similar food products"
10797,"Manufacture of vitaminised high protein flour, frying of dal and other"
10798,"Processing of salt into food-grade salt, e.g. iodized salt"
10799,"Other semi-processed, processed or instant foods n.e.c. except farinaceous"
10801,Manufacture of cattle feed
10802,Manufacture of poultry feed
10803,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
10809,Manufacture of other animal feeds n.e.c.
11011,"Manufacture of distilled, potable, alcoholic beverages such as whisky,"
11012,Manufacture of country liquor
11019,"Distilling, rectifying and blending of spirits"
11020,Manufacture of wines
11031,Manufacture of beer
11032,Manufacture of malt liquors other than beer
11033,Manufacture of malt
11039,Manufacture of malt liquors and malt n.e.c.
11041,Manufacture of aerated drinks
11042,Manufacture of synthetic flavoured concentrates and syrups
11043,Manufacture of mineral water
11044,Manufacture of ice
11045,Manufacture of soft drinks
11049,Manufacture of other non-alcoholic beverages n.e.c.
12001,Stemming and redrying of tobacco
12002,Manufacture of bidi
12003,"Manufacture of cigarettes, cigarette tobacco"
12004,Manufacture of cigars and cheroots
12005,Manufacture of snuff
12006,Manufacture of zarda
12007,Manufacture of catechu(katha) and chewing lime
12008,Manufacture of pan masala and related products.
12009,Manufacture of other tobacco products including chewing tobacco n.e.c.
13111,Preparation and spinning of cotton fiber including blended* cotton
13112,Preparation and spinning of silk fiber including blended* silk
13113,"Preparation and spinning of wool, including other animal hair and blended*"
13114,Preparation and spinning of man-made fiber including blended* man-made
13119,"Preparation and spinning of jute, mesta and other natural fibers including"
13121,"Weaving, manufacture of cotton and cotton mixture fabrics."
13122,"Weaving, manufacture of silk and silk mixture fabrics."
13123,"Weaving, manufacture of wool and wool mixture fabrics."
13124,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
13129,"Weaving of jute, mesta and other natural fibers including blended natural"
13131,Finishing of cotton and blended cotton textiles.
13132,Finishing of silk and blended silk textiles.
13133,Finishing of wool and blended wool textiles.
13134,Finishing of man-made and blended man-made textiles.
13135,"Finishing of jute, mesta and other vegetable textiles fabrics"
13136,Activity related to screen printing
13139,Other activities relating to finishing of textile n.e.c.
13911,Manufacture of knitted and crocheted cotton fabrics
13912,Manufacture of knitted and crocheted woolen fabrics
13913,Manufacture of knitted and crocheted synthetic fabrics
13919,Manufacture of other knitted and crocheted fabrics
13921,"Manufacture of curtains, bed covers and furnishings"
13922,Manufacture of crocheted made up textile goods except apparel
13923,Manufacture of mosquito nets
13924,"Manufacture of bedding, quilts pillows, sleeping bags etc."
13925,Manufacture of tarpaulin
13926,Manufacture of blankets
13929,"Manufacture of other made-up textile articles, except apparel n.e.c."
13931,Manufacture of carpets and other floor coverings made of cotton
13932,Manufacture of carpets and other floor coverings made of wool
13933,Manufacture of carpets and other floor coverings made of silk
13934,Manufacture of carpets made of synthetic materials
13935,"Manufacture of carpets, and other floor coverings made of jute, mesta and"
13939,Manufacture of other floor coverings n.e.c.
13941,"Manufacture of thread, including thread ball making"
13942,Manufacture of cordage or rope made of jute
13943,Manufacture of cordage or rope made of coir
13944,Manufacture of rope and cordage made of synthetic material
13945,"Manufacture of knotted netting of twine, cordage or rope (other than"
13946,"Manufacture of tapes, newar and wicks"
13949,Manufacture of other cordage or rope n.e.c.
13991,Embroidery work and making of laces and fringes
13992,Zari work and other ornamental trimmings
13993,Manufacture of linolium and similar products
13994,Manufacture of gas mantles
13995,"Manufacture of made-up canvas goods such tents, sails etc."
13996,Manufacture of wadding of textile materials and articles of wadding such as
13997,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord"
13998,Manufacture of waterproof textile excluding tarpulin
13999,Manufacture of other textiles/textile products n.e.c.
14101,Manufacture of all types of textile garments and clothing accessories
14102,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
14103,"Manufacture of hats, caps and other clothing accessories such as gloves,"
14104,Manufacture of wearing apparel made of leather and substitutes of leather
14105,Custom tailoring
14109,Manufacture of wearing apparel n.e.c.
14201,Manufacture of wearing apparel and clothing accessories made of fur
14202,Manufacture of fur and skin rugs and other similar articles
14209,Manufacture of other fur products n.e.c.
14301,Manufacture of knitted or crocheted wearing apparel and other made-up
14309,Manufacture of other knitted and crocheted apparel including hosiery
15111,Flaying and curing of raw hides and skins
15112,Tanning and finishing of sole leather
15113,Tanning and finishing of industrial leather
15114,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of"
15115,"Finishing of upper leather, lining leather and garment leather etc."
15116,Embroidering and embossing of leather articles
15119,"Other tanning, curing, finishing, embossing etc. of leather"
15121,"Manufacture of travel goods like suitcase, bags, holdalls etc."
15122,"Manufacture of purse, ladies’ handbags, artistic leather presented articles"
15123,Manufacture of saddlery and harness
15129,Manufacture of other consumer goods of leather and substitutes of leather
15201,"Manufacture of leather footwear such as shoes, sandals, chappals, leather-"
15202,Manufacture of footwear made primarily of vulcalized or moulded rubber
15209,Manufacture of other footwear n.e.c.
16101,Sawing and planing of wood
16102,Manufacture of unassembled wooden flooring including parquet flooring
16103,Manufacture of wooden railway sleepers
16109,Activities related to saw milling and planing of wood n.e.c.
16211,Manufacture of ply wood and veneer sheets
16212,Manufacture of particle board and fibreboard including densified wood
16213,Manufacture of flush doors and other boards or panels
16219,Manufacture of other plywood products n.e.c.
16221,Manufacture of structural wooden goods [intended to be used primarily in
16222,"Manufacture of prefabricated buildings, or elements thereof, predominantly"
16229,Manufacture of builders’ carpentry and joinery n.e.c.
16231,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
16232,Manufacture of plywood chests
16233,"Manufacture of market basketry, grain storage bins and similar products"
16239,Manufacture of other wooden containers and products entirely or mainly of
16291,Manufacture of wooden industrial goods
16292,Manufacture of cork and cork products
16293,Manufacture of wooden agricultural implements
16294,"Manufacture of various articles made of bamboo, cane and grass"
16295,Manufacture of broomsticks
16296,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and"
16297,Manufacture of products of pith and shalapith
16299,Manufacture of other wood products n.e.c.
17011,Manufacture of pulp
17012,Manufacture of news print
17013,Manufacture of paper and paper rolls not further processed
17014,Manufacture of packing paper
17015,Manufacture of other special purpose paper (excluding computer
17016,"Manufacture of paper board, straw board"
17017,Manufacture of hard board including false board and chip board
17019,Manufacture of other primary paper materials including composite paper
17021,Manufacture of corrugated paper and paperboard
17022,Manufacture of corrugated paper board containers
17023,Manufacture of card board boxes
17024,Manufacture of sacks and bags of paper
17029,Manufacture of other containers of paper and paperboard n.e.c.
17091,Manufacture of computer paper
17092,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar"
17093,"Manufacture of printing, writing and photocopying paper ready for use"
17094,Manufacture of paper pulp articles other than containers (such as egg trays)
17095,"Manufacture of file cover/file boards, and similar articles."
17096,Manufacture of wall paper
17097,Manufacture of carbon paper & stationary items
17099,Manufacture of other paper products n.e.c.
18111,Printing of newspapers
18112,"Printing of magazines and other periodicals, books and brochures, maps,"
18113,"Printing of postage stams, taxation stamps, cheques and other security"
18114,"Printing of bank notes, currency notes"
18115,"Printing directly onto textiles, flexographic plastic, glass, metal, wood and"
18119,Other printing activities like screen printing other than textile n.e.c.
18121,Book and other similar sheet binding on account of others
18122,"Engraving, etching and block making etc."
18129,Other service activities related to printing n.e.c.
18200,Reproduction of recorded media
19101,Production of coke and semi-coke products
19109,"Manufacture of other coke oven products such as gas, crude coal and lignite"
19201,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or"
19202,Manufacture of paraffin wax
19203,Bottling of LPG/CNG
19204,Manufacture of hard-coal and lignite fuel briquettes
19209,Manufacture of other petroleum n.e.c. (includes manufacture of petroleum
20111,Manufacture of liquefied or compressed inorganic industrial or medical
20112,Manufacture of inorganic acids except nitric acid
20113,Manufacture of tanning or dying extracts; tannings and their derivatives and
20114,Manufacture of dyes and pigments from any source in basic form or as
20115,Manufacture of turpentine and resins of vegetable origin
20116,Manufacture of basic chemical elements
20117,Manufacture of distilled water
20118,Manufacture of synthetic aromatic products
20119,Manufacture of organic and inorganic chemical compounds n.e.c.
20121,Manufacture of urea and other organic fertilizers
20122,"Manufacture of straight mixed, compound or complex inorganic fertilizers"
20123,"Manufacture of associated nitrogen products (nitric and sulphonitric acids,"
20129,Manufacture of other fertilizers n.e.c.
20131,"Manufacture of plastic in primary forms (includes amino-resins,"
20132,Manufacture of synthetic rubber in primary forms
20133,Manufacture of mixture of synthetic and natural or rubber like gums
20211,"Manufacture of insecticides, rodenticides, fungicides, herbicides"
20212,Manufacture of disinfectants (for agricultural and other use)
20213,"Manufacture of anti-sprouting products, plant growth regulators"
20219,Manufacture of other agrochemical products n.e.c.
20221,"Manufacture of paints and varnishes, enamels or lacquers"
20222,"Manufacture of prepared pigments, prepared opacifiers and prepared colours,"
20223,Manufacture of printing ink
20224,Manufacture of prepared pigments and other colouring matter of a kind used
20229,Manufacture of caulking compounds and similar non-refractory filling or
20231,Manufacture of soap all forms
20232,Manufacture of cleaning and polishing products (preparations for perfuming
20233,Manufacture of detergent and similar washing agents excluding soap
20234,Manufacture of perfumes and cologne de-eau
20235,Manufacture of preparations for oral or dental hygiene (includes manufacture
20236,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of"
20237,Manufacture of cosmetics and toileteries (includes manufacture of pre-
20238,Manufacture of “agarbatti” and other preparations which operate by
20239,Manufacture of other perfumes and toilet preparations n.e.c.
20291,Manufacture of matches
20292,"Manufacture of explosives, ammunition and fire works"
20293,Manufacture of essential oils; modification by chemical processes of oils
20294,"Manufacture of photographic plates, films, sensitized paper and other"
20295,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared"
20296,Manufacture of chemical elements and compounds doped for use in
20297,Manufacture of chemical products or preparations of a kind used in the
20299,Manufacture of various other chemical products n.e.c.(antiknock
20301,Manufacture of synthetic or artificial filament tow
20302,Manufacture of synthetic or artificial filament staple fibre not textured
20203,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether"
20304,Manufacture of synthetic or artificial mono-filament or strip
21001,Manufacture of medicinal substances used in the manufacture of
21002,Manufacture of allopathic pharmaceutical preparations
21003,Manufacture of `ayurvedic’ or `unani’ pharmaceutical preparation
21004,Manufacture of homoeopathic or biochemic pharmaceutical preparations
21005,Manufacture of veterinary preparations
21006,"Manufacture of medical impregnated wadding, gauze, bandages, dressings,"
21009,Manufacture of other pharmaceutical and botanical products n.e.c. like hina
22111,"Manufacture of rubber tyres and tubes for motor vehicles, motorcycles,"
22112,Manufacture of rubber tyres and tubes for cycles and cycle-rickshaws
22113,Retreading of tyres; replacing or rebuilding of tread on used pneumatic
22119,Manufacture of rubber tyres and tubes n.e.c.
22191,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and"
22192,Manufacture of rubber conveyor or transmission belts or belting
22193,Manufacture of rubber contraceptives
22194,Manufacture of rubber balloons
22199,Manufacture of other rubber products n.e.c.
22201,"Manufacture of semi-finished of plastic products (plastic plates, sheets,"
22202,"Manufacture of tableware, kitchenware and other household articles and"
22203,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks,"
22204,"Manufacture of bathing tubs, wash-basins, lavatory pans and covers, flushing"
22205,"Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and"
22206,Manufacture of spectacle frames of plastic
22207,Manufacture of moulded industrial accessories of plastics [including
22208,Manufacture of polymer/ synthetic / PVC water storage tanks
22209,Manufacture of other plastics products n.e.c.
23101,Manufacture of glass in primary or semi-manufactured forms (such as sheets
23102,Manufacture of glass fibre (including glass-wool) and yarn of glass fibre;
23103,"Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or"
23104,Manufacture of laboratory or pharmaceutical glassware
23105,Manufacture of table or kitchen glassware
23106,Manufacture of glass bangles
23107,Manufacture of glass decoration pieces and glassware used in imitation
23109,Manufacture of other glassware/glass products: articles of glass used in
23911,"Manufacture of refractory mortars, concretes etc."
23912,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic"
23913,Manufacture of refractory ceramic products
23919,Manufacture of other refractory articles n.e.c.
23921,Manufacture of bricks
23922,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water-"
23923,"Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe"
23929,Manufacture of other clay building materials
23931,"Manufacture of articles of porcelain or china, earthenware, imitation"
23932,Manufacture of ceramic tableware and other domestic or toilet articles
23933,Manufacture of statuettes and other ornamental ceramic articles
23934,Manufacture of electrical insulators and insulating fittings of ceramics
23935,"Manufacture of ceramic laboratory, chemical and industrial products"
23939,Manufacture of ceramic products n.e.c.
23941,Manufacture of clinkers and cement
23942,"Manufacture of portland cement, aluminous cement, slag cement and similar"
23943,Manufacture of asbestos cement
23944,"Manufacture of quicklime, slaked lime and hydraulic lime (excluding"
23945,Manufacture of plasters of calcined gypsum or calcined sulphate
23949,Manufacture of other cement and plaster n.e.c.
23951,Manufacture of plaster statues and other plaster products
23952,"Manufacture of articles articles of concrete, cement or artificial stone (tiles,"
23953,Manufacture of asbestos sheets
23954,Manufacture of R.C.C. bricks and blocks
23955,Manufacture of hume pipes and other pre-fabricated structural components
23956,"Manufacture of insulation boards of vegetable fibre, straw or wood waste,"
23959,Manufacture of other cement and asbestos cement products n.e.c.
23960,"Cutting, shaping and finishing of stone"
23991,Manufacture of worked mica and mica products
23992,Manufacture of gypsum boards
23993,"Manufacture of millstones, sharpening or polishing stones and natural or"
23994,Manufacture of graphite products other than electrical articles
23999,Manufacture of other non-metallic mineral products n.e.c. (includes asbestos
24101,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary"
24102,Manufacture of direct reduction of iron (sponge iron) and other spongy
24103,"Manufacture of steel in ingots or other primary forms, and other semi-"
24104,Manufacture of ferro-alloys
24105,Manufacture of hot-rolled and cold-rolled products of steel
24106,Manufacture of tube and tube fittings of basic iron and steel
24107,Manufacture of railway track materials (unassembled rails) of steel
24108,Manufacture of wire of steel by cold drawing or stretching
24109,Manufacture of other basic iron and steel n.e.c
24201,"Manufacture of Copper from ore, and other copper products and alloys"
24202,Manufacture of Aluminium from alumina and by other methods and products
24203,"Manufacturing of lead, zinc and tin products and alloys"
24204,"Manufacturing of chrome, manganese and nickel products alloys"
24205,"Production and refining of precious metals (such as gold, silver platinum"
24209,Manufacture of other non-ferrous metals n.e.c.
24311,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings"
24319,Manufacture of other iron and steel casting and products thereof
24320,Casting of non-ferrous metals
25111,"Manufacture of doors, windows and their frames, shutters and rolling"
25112,Manufacture of metal frameworks or skeletons for construction and parts
25113,Manufacture of industrial frameworks in metal (frameworks for blast
25119,Manufacture of other structural metal products
25121,Manufacture of metal containers for compressed or liquefied gas
25122,"Manufacture of metal reservoirs, tanks and similar containers"
25123,Manufacture of central heating boilers and radiators and parts and accessories
25129,Manufacture of other containers n.e.c.
25131,Manufacture of steam or other vapour generating boilers and hot water
25132,"Manufacture of nuclear reactors, except isotope separators"
25133,"Manufacture of auxiliary plant for use with steam generators (condensers,"
25139,Manufacture of other steam generators (except central heating hot water
25200,Manufacture of weapons and ammunition
25910,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
25920,Machining; treatment and coating of metals
25931,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,"
25932,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/
25933,"Manufacture of hand tools such as pliers, screwdrivers, press tools,"
25934,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for"
25939,"Manufacture of general hardware (saws and sawblades, including circular"
25991,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers"
25992,Manufacture of containers such as tins and cans for food products and
25993,Manufacture of metal cable and other articles made of wire (except for
25994,"Manufacture of metal household articles (plates, saucers, pots, kettles,"
25995,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and"
25996,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal"
25999,Manufacture of other fabricated metal products n.e.c.
26101,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers"
26102,"Manufacture of electron tubes, diodes, transistors and related discrete"
26103,"Manufacture of integrated circuits (analog, digital or hybrid)"
26104,"Manufacture of bare printed circuit boards, loading of components onto"
26105,"Manufacture of display components (plasma, polymer, LCD, LED)"
26106,"Manufacture of printer cables, monitor cables, USB cables, connectors etc."
26107,Manufacture of microprocessors
26109,Manufacture of other electronic components n.e.c
26201,"Manufacture of desktop computers, laptop computers, hand-held computers"
26202,Manufacture of magnetic and optical storage devices such as magnetic disk
26203,"Manufacture of monitors, keyboards, all types of mice, joysticks, and"
26204,"Manufacture of printers, scanners, including bar code scanners, smart card"
26205,"Manufacture of computer terminals, like automatic teller machines (ATM’s),"
26209,Manufacture of computers and peripheral equipment n.e.c.
26301,"Manufacture of radio and television studio and broadcasting equipment,"
26302,"Manufacture of telephone and facsimile equipment, including telephone"
26303,"Manufacture of data communications equipment, such as bridges, routers,"
26304,"Manufacture of cable television equipment, transmitting and receiving"
26305,"Manufacture of pagers, cellular phones and other mobile communication"
26309,Manufacture of other communication equipments n.e.c.
