business_description,nic_code,nic_description
A family-run land where cereals and pulses are harvested.,1122,Organic farming of non-basmati rice
Our farm cultivates rice and wheat using natural methods.,1123,Inorganic farming of basmati rice
We grow seasonal vegetables and sell them to local markets.,1123,Inorganic farming of basmati rice
A family-run land where cereals and pulses are harvested.,1123,Inorganic farming of basmati rice
Our farm cultivates rice and wheat using natural methods.,1124,Inorganic farming of non-basmati rice
We grow seasonal vegetables and sell them to local markets.,1124,Inorganic farming of non-basmati rice
A family-run land where cereals and pulses are harvested.,1124,Inorganic farming of non-basmati rice
"Our business specializes in growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory,.",1131,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory,"
"We provide services related to growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory,.",1131,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory,"
"We are engaged in growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, in our region.",1131,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory,"
"Our business specializes in growing of cucumbers, gherkins, aubergines, tomatoes, watermelons,.",1132,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons,"
"We provide services related to growing of cucumbers, gherkins, aubergines, tomatoes, watermelons,.",1132,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons,"
"We are engaged in growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, in our region.",1132,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons,"
Our business specializes in growing of onion.,1133,Growing of onion
We provide services related to growing of onion.,1133,Growing of onion
We are engaged in growing of onion in our region.,1133,Growing of onion
"Our business specializes in growing of carrots, beets,turnips, garlic, leeks and other root, bulb.",1134,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb"
"We provide services related to growing of carrots, beets,turnips, garlic, leeks and other root, bulb.",1134,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb"
"We are engaged in growing of carrots, beets,turnips, garlic, leeks and other root, bulb in our region.",1134,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb"
"Our business specializes in growing of potatoes and other tubers such as sweet potatoes, cassava,.",1135,"Growing of potatoes and other tubers such as sweet potatoes, cassava,"
"We provide services related to growing of potatoes and other tubers such as sweet potatoes, cassava,.",1135,"Growing of potatoes and other tubers such as sweet potatoes, cassava,"
"We are engaged in growing of potatoes and other tubers such as sweet potatoes, cassava, in our region.",1135,"Growing of potatoes and other tubers such as sweet potatoes, cassava,"
Our business specializes in growing of mushrooms and truffles.,1136,Growing of mushrooms and truffles
We provide services related to growing of mushrooms and truffles.,1136,Growing of mushrooms and truffles
We are engaged in growing of mushrooms and truffles in our region.,1136,Growing of mushrooms and truffles
Our business specializes in growing of vegetable seeds (except beet seed).,1137,Growing of vegetable seeds (except beet seed)
We provide services related to growing of vegetable seeds (except beet seed).,1137,Growing of vegetable seeds (except beet seed)
We are engaged in growing of vegetable seeds (except beet seed) in our region.,1137,Growing of vegetable seeds (except beet seed)
"Our business specializes in growing of vegetables, n.e.c..",1139,"Growing of vegetables, n.e.c."
"We provide services related to growing of vegetables, n.e.c..",1139,"Growing of vegetables, n.e.c."
"We are engaged in growing of vegetables, n.e.c. in our region.",1139,"Growing of vegetables, n.e.c."
Our business specializes in growing of sugar cane.,1140,Growing of sugar cane
We provide services related to growing of sugar cane.,1140,Growing of sugar cane
We are engaged in growing of sugar cane in our region.,1140,Growing of sugar cane
Our business specializes in growing of tobacco.,1150,Growing of tobacco
We provide services related to growing of tobacco.,1150,Growing of tobacco
We are engaged in growing of tobacco in our region.,1150,Growing of tobacco
Our business specializes in growing of cotton.,1161,Growing of cotton
We provide services related to growing of cotton.,1161,Growing of cotton
We are engaged in growing of cotton in our region.,1161,Growing of cotton
Our business specializes in growing of jute.,1162,Growing of jute
We provide services related to growing of jute.,1162,Growing of jute
We are engaged in growing of jute in our region.,1162,Growing of jute
Our farm cultivates rice and wheat using natural methods.,1169,Growing of other fibre crops
We grow seasonal vegetables and sell them to local markets.,1169,Growing of other fibre crops
A family-run land where cereals and pulses are harvested.,1169,Growing of other fibre crops
Our business specializes in growing of rose.,1191,Growing of rose
We provide services related to growing of rose.,1191,Growing of rose
We are engaged in growing of rose in our region.,1191,Growing of rose
Our business specializes in growing of gladiolus.,1192,Growing of gladiolus
We provide services related to growing of gladiolus.,1192,Growing of gladiolus
We are engaged in growing of gladiolus in our region.,1192,Growing of gladiolus
"Our business specializes in growing of other flowers, including production of cut flowers, flower buds.",1193,"Growing of other flowers, including production of cut flowers, flower buds"
"We provide services related to growing of other flowers, including production of cut flowers, flower buds.",1193,"Growing of other flowers, including production of cut flowers, flower buds"
"We are engaged in growing of other flowers, including production of cut flowers, flower buds in our region.",1193,"Growing of other flowers, including production of cut flowers, flower buds"
Our farm cultivates rice and wheat using natural methods.,1199,Growing of other non-perennial crops including beet seed and padding
We grow seasonal vegetables and sell them to local markets.,1199,Growing of other non-perennial crops including beet seed and padding
A family-run land where cereals and pulses are harvested.,1199,Growing of other non-perennial crops including beet seed and padding
Our business specializes in growing of grapes.,1210,Growing of grapes
We provide services related to growing of grapes.,1210,Growing of grapes
We are engaged in growing of grapes in our region.,1210,Growing of grapes
Our business specializes in growing of mangoes.,1221,Growing of mangoes
We provide services related to growing of mangoes.,1221,Growing of mangoes
We are engaged in growing of mangoes in our region.,1221,Growing of mangoes
Our business specializes in growing of bananas.,1222,Growing of bananas
We provide services related to growing of bananas.,1222,Growing of bananas
We are engaged in growing of bananas in our region.,1222,Growing of bananas
Our business specializes in growing of pineapples.,1223,Growing of pineapples
We provide services related to growing of pineapples.,1223,Growing of pineapples
We are engaged in growing of pineapples in our region.,1223,Growing of pineapples
Our business specializes in growing of lichchis.,1224,Growing of lichchis
We provide services related to growing of lichchis.,1224,Growing of lichchis
We are engaged in growing of lichchis in our region.,1224,Growing of lichchis
Our business specializes in growing of guava.,1225,Growing of guava
We provide services related to growing of guava.,1225,Growing of guava
We are engaged in growing of guava in our region.,1225,Growing of guava
Our business specializes in growing of other tropical and sub tropical fruits.,1229,Growing of other tropical and sub tropical fruits
We provide services related to growing of other tropical and sub tropical fruits.,1229,Growing of other tropical and sub tropical fruits
We are engaged in growing of other tropical and sub tropical fruits in our region.,1229,Growing of other tropical and sub tropical fruits
Our business specializes in growing of oranges.,1231,Growing of oranges
We provide services related to growing of oranges.,1231,Growing of oranges
We are engaged in growing of oranges in our region.,1231,Growing of oranges
Our business specializes in growing of mousambi (grape fruit).,1232,Growing of mousambi (grape fruit)
We provide services related to growing of mousambi (grape fruit).,1232,Growing of mousambi (grape fruit)
We are engaged in growing of mousambi (grape fruit) in our region.,1232,Growing of mousambi (grape fruit)
Our business specializes in growing of lemons and lime.,1233,Growing of lemons and lime
We provide services related to growing of lemons and lime.,1233,Growing of lemons and lime
We are engaged in growing of lemons and lime in our region.,1233,Growing of lemons and lime
Our business specializes in growing of other citrus fruits.,1239,Growing of other citrus fruits
We provide services related to growing of other citrus fruits.,1239,Growing of other citrus fruits
We are engaged in growing of other citrus fruits in our region.,1239,Growing of other citrus fruits
Our business specializes in growing of apples.,1241,Growing of apples
We provide services related to growing of apples.,1241,Growing of apples
We are engaged in growing of apples in our region.,1241,Growing of apples
"Our business specializes in growing of appricots, peaches and nectarines.",1242,"Growing of appricots, peaches and nectarines"
"We provide services related to growing of appricots, peaches and nectarines.",1242,"Growing of appricots, peaches and nectarines"
"We are engaged in growing of appricots, peaches and nectarines in our region.",1242,"Growing of appricots, peaches and nectarines"
Our business specializes in growing of cherries and sour cherries.,1243,Growing of cherries and sour cherries
We provide services related to growing of cherries and sour cherries.,1243,Growing of cherries and sour cherries
We are engaged in growing of cherries and sour cherries in our region.,1243,Growing of cherries and sour cherries
Our business specializes in growing of other pome fruits and stone fruits.,1249,Growing of other pome fruits and stone fruits
We provide services related to growing of other pome fruits and stone fruits.,1249,Growing of other pome fruits and stone fruits
We are engaged in growing of other pome fruits and stone fruits in our region.,1249,Growing of other pome fruits and stone fruits
Our business specializes in growing of strawberries and other berries.,1251,Growing of strawberries and other berries
We provide services related to growing of strawberries and other berries.,1251,Growing of strawberries and other berries
We are engaged in growing of strawberries and other berries in our region.,1251,Growing of strawberries and other berries
"Our business specializes in growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts.",1252,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts"
"We provide services related to growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts.",1252,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts"
"We are engaged in growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts in our region.",1252,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts"
"Our business specializes in growing of other tree and bush fruits, n.e.c..",1259,"Growing of other tree and bush fruits, n.e.c."
"We provide services related to growing of other tree and bush fruits, n.e.c..",1259,"Growing of other tree and bush fruits, n.e.c."
"We are engaged in growing of other tree and bush fruits, n.e.c. in our region.",1259,"Growing of other tree and bush fruits, n.e.c."
Our business specializes in growing of coconut.,1261,Growing of coconut
We provide services related to growing of coconut.,1261,Growing of coconut
We are engaged in growing of coconut in our region.,1261,Growing of coconut
Our business specializes in growing of olives and oil palms.,1262,Growing of olives and oil palms
We provide services related to growing of olives and oil palms.,1262,Growing of olives and oil palms
We are engaged in growing of olives and oil palms in our region.,1262,Growing of olives and oil palms
Our business specializes in growing of other oleaginous fruits.,1269,Growing of other oleaginous fruits
We provide services related to growing of other oleaginous fruits.,1269,Growing of other oleaginous fruits
We are engaged in growing of other oleaginous fruits in our region.,1269,Growing of other oleaginous fruits
Our business specializes in growing of tea.,1271,Growing of tea
We provide services related to growing of tea.,1271,Growing of tea
We are engaged in growing of tea in our region.,1271,Growing of tea
Our business specializes in growing of coffee.,1272,Growing of coffee
We provide services related to growing of coffee.,1272,Growing of coffee
We are engaged in growing of coffee in our region.,1272,Growing of coffee
Our business specializes in growing of cocoa.,1273,Growing of cocoa
We provide services related to growing of cocoa.,1273,Growing of cocoa
We are engaged in growing of cocoa in our region.,1273,Growing of cocoa
Our farm cultivates rice and wheat using natural methods.,1279,Growing of other beverage crops
We grow seasonal vegetables and sell them to local markets.,1279,Growing of other beverage crops
A family-run land where cereals and pulses are harvested.,1279,Growing of other beverage crops
Our business specializes in growing of ginger.,1281,Growing of ginger
We provide services related to growing of ginger.,1281,Growing of ginger
We are engaged in growing of ginger in our region.,1281,Growing of ginger
Our business specializes in growing of chili.,1282,Growing of chili
We provide services related to growing of chili.,1282,Growing of chili
We are engaged in growing of chili in our region.,1282,Growing of chili
Our business specializes in growing of cardamoms.,1283,Growing of cardamoms
We provide services related to growing of cardamoms.,1283,Growing of cardamoms
We are engaged in growing of cardamoms in our region.,1283,Growing of cardamoms
Our farm cultivates rice and wheat using natural methods.,1284,"Growing of perennial and non-perennial spices and aromatic crops (pepper,"
We grow seasonal vegetables and sell them to local markets.,1284,"Growing of perennial and non-perennial spices and aromatic crops (pepper,"
A family-run land where cereals and pulses are harvested.,1284,"Growing of perennial and non-perennial spices and aromatic crops (pepper,"
Our farm cultivates rice and wheat using natural methods.,1285,Growing of drug and narcotic crops
We grow seasonal vegetables and sell them to local markets.,1285,Growing of drug and narcotic crops
A family-run land where cereals and pulses are harvested.,1285,Growing of drug and narcotic crops
"Our business specializes in growing of plants used primarily in perfumery, in pharmacy or for.",1286,"Growing of plants used primarily in perfumery, in pharmacy or for"
"We provide services related to growing of plants used primarily in perfumery, in pharmacy or for.",1286,"Growing of plants used primarily in perfumery, in pharmacy or for"
"We are engaged in growing of plants used primarily in perfumery, in pharmacy or for in our region.",1286,"Growing of plants used primarily in perfumery, in pharmacy or for"
Our business specializes in growing of heena leaves (mehendi).,1287,Growing of heena leaves (mehendi)
We provide services related to growing of heena leaves (mehendi).,1287,Growing of heena leaves (mehendi)
We are engaged in growing of heena leaves (mehendi) in our region.,1287,Growing of heena leaves (mehendi)
Our business specializes in growing of rubber trees.,1291,Growing of rubber trees
We provide services related to growing of rubber trees.,1291,Growing of rubber trees
We are engaged in growing of rubber trees in our region.,1291,Growing of rubber trees
Our business specializes in growing of trees for extraction of sap.,1292,Growing of trees for extraction of sap
We provide services related to growing of trees for extraction of sap.,1292,Growing of trees for extraction of sap
We are engaged in growing of trees for extraction of sap in our region.,1292,Growing of trees for extraction of sap
Our business specializes in growing of bamboo and cane.,1293,Growing of bamboo and cane
We provide services related to growing of bamboo and cane.,1293,Growing of bamboo and cane
We are engaged in growing of bamboo and cane in our region.,1293,Growing of bamboo and cane
Our farm cultivates rice and wheat using natural methods.,1299,"Growing of other perennial crops, n.e.c."
We grow seasonal vegetables and sell them to local markets.,1299,"Growing of other perennial crops, n.e.c."
A family-run land where cereals and pulses are harvested.,1299,"Growing of other perennial crops, n.e.c."
Our business specializes in growing of plants for planting.,1301,Growing of plants for planting
We provide services related to growing of plants for planting.,1301,Growing of plants for planting
We are engaged in growing of plants for planting in our region.,1301,Growing of plants for planting
Our business specializes in raising and breeding of cattle and buffaloes.,1411,Raising and breeding of cattle and buffaloes
We provide services related to raising and breeding of cattle and buffaloes.,1411,Raising and breeding of cattle and buffaloes
We are engaged in raising and breeding of cattle and buffaloes in our region.,1411,Raising and breeding of cattle and buffaloes
Our business specializes in production of milk from cows or buffaloes.,1412,Production of milk from cows or buffaloes
We provide services related to production of milk from cows or buffaloes.,1412,Production of milk from cows or buffaloes
We are engaged in production of milk from cows or buffaloes in our region.,1412,Production of milk from cows or buffaloes
Our business specializes in production of bovine semen.,1413,Production of bovine semen
We provide services related to production of bovine semen.,1413,Production of bovine semen
We are engaged in production of bovine semen in our region.,1413,Production of bovine semen
Our business specializes in raising of horses and other equines.,1420,Raising of horses and other equines
We provide services related to raising of horses and other equines.,1420,Raising of horses and other equines
We are engaged in raising of horses and other equines in our region.,1420,Raising of horses and other equines
Our business specializes in raising and breeding of camels and camelids.,1430,Raising and breeding of camels and camelids
We provide services related to raising and breeding of camels and camelids.,1430,Raising and breeding of camels and camelids
We are engaged in raising and breeding of camels and camelids in our region.,1430,Raising and breeding of camels and camelids
Our business specializes in raising and breeding of sheep and goats.,1441,Raising and breeding of sheep and goats
We provide services related to raising and breeding of sheep and goats.,1441,Raising and breeding of sheep and goats
We are engaged in raising and breeding of sheep and goats in our region.,1441,Raising and breeding of sheep and goats
Our business specializes in production of milk from sheep or goat.,1442,Production of milk from sheep or goat
We provide services related to production of milk from sheep or goat.,1442,Production of milk from sheep or goat
We are engaged in production of milk from sheep or goat in our region.,1442,Production of milk from sheep or goat
Our business specializes in production of raw wool.,1443,Production of raw wool
We provide services related to production of raw wool.,1443,Production of raw wool
We are engaged in production of raw wool in our region.,1443,Production of raw wool
Our business specializes in raising of swine/pigs (including breeding of swine/pigs).,1450,Raising of swine/pigs (including breeding of swine/pigs)
We provide services related to raising of swine/pigs (including breeding of swine/pigs).,1450,Raising of swine/pigs (including breeding of swine/pigs)
We are engaged in raising of swine/pigs (including breeding of swine/pigs) in our region.,1450,Raising of swine/pigs (including breeding of swine/pigs)
"Our business specializes in raising and breeding of chickens and capons, ducks, geese, turkeys and.",1461,"Raising and breeding of chickens and capons, ducks, geese, turkeys and"
"We provide services related to raising and breeding of chickens and capons, ducks, geese, turkeys and.",1461,"Raising and breeding of chickens and capons, ducks, geese, turkeys and"
"We are engaged in raising and breeding of chickens and capons, ducks, geese, turkeys and in our region.",1461,"Raising and breeding of chickens and capons, ducks, geese, turkeys and"
Our business specializes in production of eggs.,1462,Production of eggs
We provide services related to production of eggs.,1462,Production of eggs
We are engaged in production of eggs in our region.,1462,Production of eggs
Our business specializes in operation of poultry hatcheries.,1463,Operation of poultry hatcheries
We provide services related to operation of poultry hatcheries.,1463,Operation of poultry hatcheries
We are engaged in operation of poultry hatcheries in our region.,1463,Operation of poultry hatcheries
"Our business specializes in raising and breeding of pet animals (cats, dogs, birds, hamsters etc.).",1491,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
"We provide services related to raising and breeding of pet animals (cats, dogs, birds, hamsters etc.).",1491,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
"We are engaged in raising and breeding of pet animals (cats, dogs, birds, hamsters etc.) in our region.",1491,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
Our business specializes in bee-keeping and production of honey and beeswax.,1492,Bee-keeping and production of honey and beeswax
We provide services related to bee-keeping and production of honey and beeswax.,1492,Bee-keeping and production of honey and beeswax
We are engaged in bee-keeping and production of honey and beeswax in our region.,1492,Bee-keeping and production of honey and beeswax
"Our business specializes in raising of silk worms, production of silk worm cocoons.",1493,"Raising of silk worms, production of silk worm cocoons"
"We provide services related to raising of silk worms, production of silk worm cocoons.",1493,"Raising of silk worms, production of silk worm cocoons"
"We are engaged in raising of silk worms, production of silk worm cocoons in our region.",1493,"Raising of silk worms, production of silk worm cocoons"
"Our business specializes in raising of other animals, n.e.c..",1499,"Raising of other animals, n.e.c."
"We provide services related to raising of other animals, n.e.c..",1499,"Raising of other animals, n.e.c."
"We are engaged in raising of other animals, n.e.c. in our region.",1499,"Raising of other animals, n.e.c."
Our farm cultivates rice and wheat using natural methods.,1500,Mixed farming
We grow seasonal vegetables and sell them to local markets.,1500,Mixed farming
A family-run land where cereals and pulses are harvested.,1500,Mixed farming
"Our business specializes in agricultural activities on a fee or contract basis (preparation of fields,.",1611,"Agricultural activities on a fee or contract basis (preparation of fields,"
"We provide services related to agricultural activities on a fee or contract basis (preparation of fields,.",1611,"Agricultural activities on a fee or contract basis (preparation of fields,"
"We are engaged in agricultural activities on a fee or contract basis (preparation of fields, in our region.",1611,"Agricultural activities on a fee or contract basis (preparation of fields,"
Our business specializes in operation of agricultural irrigation equipment.,1612,Operation of agricultural irrigation equipment
We provide services related to operation of agricultural irrigation equipment.,1612,Operation of agricultural irrigation equipment
We are engaged in operation of agricultural irrigation equipment in our region.,1612,Operation of agricultural irrigation equipment
Our business specializes in other supporting activities including agricultural gardening (excluding.,1619,Other supporting activities including agricultural gardening (excluding
We provide services related to other supporting activities including agricultural gardening (excluding.,1619,Other supporting activities including agricultural gardening (excluding
We are engaged in other supporting activities including agricultural gardening (excluding in our region.,1619,Other supporting activities including agricultural gardening (excluding
Our business specializes in support activities for animal production.,1620,Support activities for animal production
We provide services related to support activities for animal production.,1620,Support activities for animal production
We are engaged in support activities for animal production in our region.,1620,Support activities for animal production
Our farm cultivates rice and wheat using natural methods.,1631,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading,"
We grow seasonal vegetables and sell them to local markets.,1631,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading,"
A family-run land where cereals and pulses are harvested.,1631,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading,"
"Our business specializes in cotton ginning, cleaning and bailing.",1632,"Cotton ginning, cleaning and bailing"
"We provide services related to cotton ginning, cleaning and bailing.",1632,"Cotton ginning, cleaning and bailing"
"We are engaged in cotton ginning, cleaning and bailing in our region.",1632,"Cotton ginning, cleaning and bailing"
Our business specializes in preparation of tobacco leaves.,1633,Preparation of tobacco leaves
We provide services related to preparation of tobacco leaves.,1633,Preparation of tobacco leaves
We are engaged in preparation of tobacco leaves in our region.,1633,Preparation of tobacco leaves
Our farm cultivates rice and wheat using natural methods.,1639,"Other post harvest crop activities, n.e.c."
We grow seasonal vegetables and sell them to local markets.,1639,"Other post harvest crop activities, n.e.c."
A family-run land where cereals and pulses are harvested.,1639,"Other post harvest crop activities, n.e.c."
Our business specializes in seed processing for propagation.,1640,Seed processing for propagation
We provide services related to seed processing for propagation.,1640,Seed processing for propagation
We are engaged in seed processing for propagation in our region.,1640,Seed processing for propagation
"Our business specializes in hunting, trapping and related service activities.",1700,"Hunting, trapping and related service activities"
"We provide services related to hunting, trapping and related service activities.",1700,"Hunting, trapping and related service activities"
"We are engaged in hunting, trapping and related service activities in our region.",1700,"Hunting, trapping and related service activities"
"Our business specializes in growing of standing timber (planting, replanting, transplanting, thinning.",2101,"Growing of standing timber (planting, replanting, transplanting, thinning"
"We provide services related to growing of standing timber (planting, replanting, transplanting, thinning.",2101,"Growing of standing timber (planting, replanting, transplanting, thinning"
"We are engaged in growing of standing timber (planting, replanting, transplanting, thinning in our region.",2101,"Growing of standing timber (planting, replanting, transplanting, thinning"
Our business specializes in operation of forest tree nurseries.,2102,Operation of forest tree nurseries
We provide services related to operation of forest tree nurseries.,2102,Operation of forest tree nurseries
We are engaged in operation of forest tree nurseries in our region.,2102,Operation of forest tree nurseries
"Our business specializes in other foresty activities including growing of pulpwood,firewood etc.",2109,"Other foresty activities including growing of pulpwood,firewood etc"
"We provide services related to other foresty activities including growing of pulpwood,firewood etc.",2109,"Other foresty activities including growing of pulpwood,firewood etc"
"We are engaged in other foresty activities including growing of pulpwood,firewood etc in our region.",2109,"Other foresty activities including growing of pulpwood,firewood etc"
Our business specializes in gathering and preparation of fire wood.,2201,Gathering and preparation of fire wood
We provide services related to gathering and preparation of fire wood.,2201,Gathering and preparation of fire wood
We are engaged in gathering and preparation of fire wood in our region.,2201,Gathering and preparation of fire wood
Our business specializes in logging camps and loggers primarily engaged in felling timber and.,2202,Logging camps and loggers primarily engaged in felling timber and
We provide services related to logging camps and loggers primarily engaged in felling timber and.,2202,Logging camps and loggers primarily engaged in felling timber and
We are engaged in logging camps and loggers primarily engaged in felling timber and in our region.,2202,Logging camps and loggers primarily engaged in felling timber and
Our business specializes in production of charcoal in the forest (using traditional methods).,2203,Production of charcoal in the forest (using traditional methods)
We provide services related to production of charcoal in the forest (using traditional methods).,2203,Production of charcoal in the forest (using traditional methods)
We are engaged in production of charcoal in the forest (using traditional methods) in our region.,2203,Production of charcoal in the forest (using traditional methods)
"Our business specializes in other logging activities, n.e.c..",2209,"Other logging activities, n.e.c."
"We provide services related to other logging activities, n.e.c..",2209,"Other logging activities, n.e.c."
"We are engaged in other logging activities, n.e.c. in our region.",2209,"Other logging activities, n.e.c."
Our business specializes in gathering of tendu leaves.,2301,Gathering of tendu leaves
We provide services related to gathering of tendu leaves.,2301,Gathering of tendu leaves
We are engaged in gathering of tendu leaves in our region.,2301,Gathering of tendu leaves
"Our business specializes in gathering of lac, resins and rubber-like gums.",2302,"Gathering of lac, resins and rubber-like gums"
"We provide services related to gathering of lac, resins and rubber-like gums.",2302,"Gathering of lac, resins and rubber-like gums"
"We are engaged in gathering of lac, resins and rubber-like gums in our region.",2302,"Gathering of lac, resins and rubber-like gums"
"Our business specializes in gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams,.",2303,"Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams,"
"We provide services related to gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams,.",2303,"Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams,"
"We are engaged in gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams, in our region.",2303,"Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams,"
"Our business specializes in gathering of non-wood forest products, n.e.c..",2309,"Gathering of non-wood forest products, n.e.c."
"We provide services related to gathering of non-wood forest products, n.e.c..",2309,"Gathering of non-wood forest products, n.e.c."
"We are engaged in gathering of non-wood forest products, n.e.c. in our region.",2309,"Gathering of non-wood forest products, n.e.c."
"Our business specializes in forestry service activities (forest management consulting services, forestry.",2401,"Forestry service activities (forest management consulting services, forestry"
"We provide services related to forestry service activities (forest management consulting services, forestry.",2401,"Forestry service activities (forest management consulting services, forestry"
"We are engaged in forestry service activities (forest management consulting services, forestry in our region.",2401,"Forestry service activities (forest management consulting services, forestry"
Our business specializes in logging service activities such as transport of logs within the forest.,2402,Logging service activities such as transport of logs within the forest
We provide services related to logging service activities such as transport of logs within the forest.,2402,Logging service activities such as transport of logs within the forest
We are engaged in logging service activities such as transport of logs within the forest in our region.,2402,Logging service activities such as transport of logs within the forest
Our business specializes in fishing on a commercial basis including taking of marine crustaceans and.,3111,Fishing on a commercial basis including taking of marine crustaceans and
We provide services related to fishing on a commercial basis including taking of marine crustaceans and.,3111,Fishing on a commercial basis including taking of marine crustaceans and
We are engaged in fishing on a commercial basis including taking of marine crustaceans and in our region.,3111,Fishing on a commercial basis including taking of marine crustaceans and
"Our business specializes in gathering of other marine organisms and materials such as natural pearls,.",3112,"Gathering of other marine organisms and materials such as natural pearls,"
"We provide services related to gathering of other marine organisms and materials such as natural pearls,.",3112,"Gathering of other marine organisms and materials such as natural pearls,"
"We are engaged in gathering of other marine organisms and materials such as natural pearls, in our region.",3112,"Gathering of other marine organisms and materials such as natural pearls,"
Our business specializes in activities of vessels engaged in fishing and in processing and preserving of.,3113,Activities of vessels engaged in fishing and in processing and preserving of
We provide services related to activities of vessels engaged in fishing and in processing and preserving of.,3113,Activities of vessels engaged in fishing and in processing and preserving of
We are engaged in activities of vessels engaged in fishing and in processing and preserving of in our region.,3113,Activities of vessels engaged in fishing and in processing and preserving of
Our business specializes in fishing and taking of freshwater crustaceans and molluscs on a commercial.,3121,Fishing and taking of freshwater crustaceans and molluscs on a commercial
We provide services related to fishing and taking of freshwater crustaceans and molluscs on a commercial.,3121,Fishing and taking of freshwater crustaceans and molluscs on a commercial
We are engaged in fishing and taking of freshwater crustaceans and molluscs on a commercial in our region.,3121,Fishing and taking of freshwater crustaceans and molluscs on a commercial
Our business specializes in taking and gathering of freshwater aquatic animals.,3122,Taking and gathering of freshwater aquatic animals
